antecedents,consequents,support,confidence,lift
"annual_inc_Inc Mid(50-100k), dti_DTI Healthy(<20), int_rate_IntRate Low",grade_Grade A,0.064836,0.7685633001422475,4.060199586576546
grade_Grade E,int_rate_IntRate Very High,0.06014,0.9956294285146678,4.059684191164323
"grade_Grade A, home_Home MORTGAGE","dti_DTI Healthy(<20), int_rate_IntRate Low",0.074492,0.7034183191690274,4.053536633986973
"dti_DTI Healthy(<20), grade_Grade A","home_Home MORTGAGE, int_rate_IntRate Low",0.074492,0.5568079889971895,4.047275607643699
"home_Home MORTGAGE, int_rate_IntRate Low","dti_DTI Healthy(<20), grade_Grade A",0.074492,0.5414607198930046,4.047275607643699
"emp_length_Emp Long(8+), home_Home MORTGAGE, int_rate_IntRate Low",grade_Grade A,0.051484,0.7660397571717652,4.046868104155301
"grade_Grade A, purpose_debt_consolidation","annual_inc_Inc Mid(50-100k), int_rate_IntRate Low",0.045312,0.5001987018148099,4.0453440558262965
"dti_DTI Healthy(<20), int_rate_IntRate Low, loan_amnt_Loan Small(<10k)",grade_Grade A,0.058632,0.764751917357959,4.040064648046188
"home_Home MORTGAGE, int_rate_IntRate Low, loan_amnt_Loan Medium(10-25k)",grade_Grade A,0.050032,0.7643607919824004,4.037998393922619
"annual_inc_Inc Mid(50-100k), home_Home MORTGAGE, int_rate_IntRate Low",grade_Grade A,0.053652,0.7637512811752647,4.0347784437549645
"int_rate_IntRate Low, purpose_credit_card","dti_DTI Healthy(<20), grade_Grade A",0.042364,0.5395588160374956,4.033059379578242
"grade_Grade A, loan_amnt_Loan Medium(10-25k)","dti_DTI Healthy(<20), int_rate_IntRate Low",0.059104,0.6987609949872315,4.0266982169699626
"emp_length_Emp Mid(4-7), int_rate_IntRate Low",grade_Grade A,0.05052,0.7614855902568431,4.022809153354833
"int_rate_IntRate Low, loan_amnt_Loan Small(<10k)","dti_DTI Healthy(<20), grade_Grade A",0.058632,0.5380662212759709,4.021902628684828
"grade_Grade A, purpose_debt_consolidation","fico_range_low_FICO Good(670-739), int_rate_IntRate Low",0.058308,0.6436614121075639,4.015254841473475
"emp_length_Emp Long(8+), fico_range_low_FICO Good(670-739), grade_Grade A",int_rate_IntRate Low,0.050552,1.0,4.002049049113146
"emp_length_Emp Short(0-3), int_rate_IntRate Low",grade_Grade A,0.059484,0.7575263613672254,4.001893166997155
"fico_range_low_FICO Good(670-739), grade_Grade A, loan_amnt_Loan Medium(10-25k)",int_rate_IntRate Low,0.055136,0.9999274573812114,4.001758729994602
"dti_DTI Healthy(<20), emp_length_Emp Long(8+), grade_Grade A",int_rate_IntRate Low,0.054996,0.9999272727272728,4.001757991000483
"emp_length_Emp Long(8+), grade_Grade A",int_rate_IntRate Low,0.0792,0.9998485078018482,4.001442769905585
"emp_length_Emp Long(8+), grade_Grade A, home_Home MORTGAGE",int_rate_IntRate Low,0.051484,0.9998446360599704,4.0014272750046835
"grade_Grade A, home_Home MORTGAGE, loan_amnt_Loan Medium(10-25k)",int_rate_IntRate Low,0.050032,0.9998401278976818,4.001409233118084
"grade_Grade A, home_Home MORTGAGE, revol_util_Util Excellent(<30)",int_rate_IntRate Low,0.0429,0.9998135545818961,4.001302885404912
"annual_inc_Inc Mid(50-100k), emp_length_Emp Long(8+), grade_Grade A",int_rate_IntRate Low,0.04098,0.9998048209231972,4.001267932874421
"annual_inc_Inc Mid(50-100k), fico_range_low_FICO Good(670-739), grade_Grade A",int_rate_IntRate Low,0.059728,0.9997991295614329,4.001245155765483
"annual_inc_Inc Mid(50-100k), grade_Grade A, home_Home MORTGAGE",int_rate_IntRate Low,0.053652,0.9997763864042933,4.001154136535079
"dti_DTI Manageable(20-35), grade_Grade A",int_rate_IntRate Low,0.052364,0.999770887429357,4.001132129367664
"grade_Grade A, home_Home MORTGAGE, purpose_debt_consolidation",int_rate_IntRate Low,0.050716,0.9997634442516952,4.00110234140558
"fico_range_low_FICO Good(670-739), grade_Grade A, home_Home MORTGAGE",int_rate_IntRate Low,0.066264,0.9997585998792999,4.001082953989642
"grade_Grade A, home_Home MORTGAGE",int_rate_IntRate Low,0.105872,0.9997355996222852,4.000990905832927
"dti_DTI Healthy(<20), grade_Grade A, home_Home MORTGAGE",int_rate_IntRate Low,0.074492,0.9997315868584927,4.000974846555407
"grade_Grade A, loan_amnt_Loan Medium(10-25k), purpose_debt_consolidation",int_rate_IntRate Low,0.044264,0.9997289728069382,4.000964384992868
"fico_range_low_FICO Good(670-739), grade_Grade A, purpose_credit_card",int_rate_IntRate Low,0.043136,0.9997218874571243,4.000936029075383
"emp_length_Emp Long(8+), grade_Grade A","dti_DTI Healthy(<20), int_rate_IntRate Low",0.054996,0.6942887441296773,4.000926308287102
"grade_Grade A, loan_amnt_Loan Small(<10k), revol_util_Util Excellent(<30)",int_rate_IntRate Low,0.042216,0.9997158283603296,4.000911780272818
"grade_Grade A, purpose_credit_card",int_rate_IntRate Low,0.061072,0.9996726248936031,4.000738877879886
"fico_range_low_FICO Good(670-739), grade_Grade A, purpose_debt_consolidation",int_rate_IntRate Low,0.058308,0.9996571115073378,4.000676792547135
"fico_range_low_FICO Good(670-739), grade_Grade A, revol_util_Util Moderate(30-60)",int_rate_IntRate Low,0.058296,0.9996570409493106,4.000676510170449
"annual_inc_Inc Mid(50-100k), grade_Grade A, purpose_debt_consolidation",int_rate_IntRate Low,0.045312,0.9996470172961525,4.0006363950188595
"grade_Grade A, purpose_debt_consolidation",int_rate_IntRate Low,0.090556,0.9996467523292267,4.000635334608226
"fico_range_low_FICO Good(670-739), grade_Grade A",int_rate_IntRate Low,0.120408,0.9996347092617806,4.000587137661605
"grade_Grade A, home_Home MORTGAGE, revol_util_Util Moderate(30-60)",int_rate_IntRate Low,0.042936,0.999627491152915,4.000558250435883
"dti_DTI Healthy(<20), grade_Grade A, purpose_credit_card",int_rate_IntRate Low,0.042364,0.9996224634261444,4.000538129226741
"emp_length_Emp Mid(4-7), grade_Grade A",int_rate_IntRate Low,0.05052,0.9996042738425011,4.000465333620818
"annual_inc_Inc Mid(50-100k), grade_Grade A",int_rate_IntRate Low,0.093364,0.9995717528157253,4.000335182876534
