cluster,annual_inc,fico_range_low,revol_util,dti,loan_amnt,grade,term,emp_length,size_%,CO_%,profil
0,63231.3,684.2,58.3,19.6,12003.3,3.0,41.6,5.7,62.1,14.4,Higher-risk
1,102222.5,722.2,37.3,17.6,20043.1,2.1,45.0,6.4,37.9,7.8,Prime
